delete,Frequency,Card_name
2 Thoughtseize,2, Thoughtseize
4 Polluted Delta,4, Polluted Delta
1 Cling to Dust,1, Cling to Dust
"1 Otawara, Soaring City",1," Otawara, Soaring City"
1 Dismember,1, Dismember
2 Flooded Strand,2, Flooded Strand
4 Fatal Push,4, Fatal Push
3 Force of Negation,3, Force of Negation
3 Darkslick Shores,3, Darkslick Shores
"2 Kaito, Bane ofNightmares",2," Kaito, Bane ofNightmares"
3 Murktide Regent,3, Murktide Regent
4 Orcish Bowmasters,4, Orcish Bowmasters
4 Counterspell,4, Counterspell
3 Consider,3, Consider
2 Preordain,2, Preordain
4 Psychic Frog,4, Psychic Frog
1 Sink into Stupor,1, Sink into Stupor
2 Spell Snare,2, Spell Snare
2 Subtlety,2, Subtlety
1 Swamp,1, Swamp
2 Bloodstained Mire,2, Bloodstained Mire
2 Undercity Sewers,2, Undercity Sewers
1 Archmage's Charm,1, Archmage's Charm
2 Watery Grave,2, Watery Grave
"2 Tamiyo, Inquisitive Student",2," Tamiyo, Inquisitive Student"
4 Consign to Memory,4, Consign to Memory
1 Dismember,1, Dismember
1 Engineered Explosives,1, Engineered Explosives
2 Harbinger of the Seas,2, Harbinger of the Seas
2 Nihil Spellbomb,2, Nihil Spellbomb
1 Sauron's Ransom,1, Sauron's Ransom
1 Subtlety,1, Subtlety
1 Thoughtseize,1, Thoughtseize
2 Stern Scolding,2, Stern Scolding
"4 Ajani, Nacatl Pariah",4," Ajani, Nacatl Pariah"
3 Sacred Foundry,3, Sacred Foundry
4 Seasoned Pyromancer,4, Seasoned Pyromancer
"3 Ragavan, Nimble Pilferer",3," Ragavan, Nimble Pilferer"
4 Guide of Souls,4, Guide of Souls
4 Galvanic Discharge,4, Galvanic Discharge
4 Ocelot Pride,4, Ocelot Pride
1 Mountain,1, Mountain
2 Plains,2, Plains
4 Flooded Strand,4, Flooded Strand
"4 Phlage, Titan of Fire's Fury",4," Phlage, Titan of Fire's Fury"
1 March of Otherworldly Light,1, March of Otherworldly Light
3 Goblin Bombardment,3, Goblin Bombardment
2 Ranger-Captain of Eos,2, Ranger-Captain of Eos
4 Arid Mesa,4, Arid Mesa
2 Elegant Parlor,2, Elegant Parlor
2 Static Prison,2, Static Prison
2 Thraben Charm,2, Thraben Charm
4 Windswept Heath,4, Windswept Heath
3 Arena of Glory,3, Arena of Glory
1 March of Otherworldly Light,1, March of Otherworldly Light
2 Orim's Chant,2, Orim's Chant
1 Showdown of the Skalds,1, Showdown of the Skalds
3 Stony Silence,3, Stony Silence
2 Wear // Tear,2, Wear // Tear
2 Wrath of the Skies,2, Wrath of the Skies
4 Molten Rain,4, Molten Rain
"2 Boseiju, Who Endures",2," Boseiju, Who Endures"
4 Basking Broodscale,4, Basking Broodscale
